,날짜,확진자수(양성),검사수,확진자 증가량,검사자 증가량,18시 전 규제 인원수,18시 후 규제 인원수,영업 제한 시각
1,20210101,61753,4269308,1027,55436,5,5,21
2,20210102,62573,4302790,820,33482,5,5,21
3,20210103,63230,4340830,657,38040,5,5,21
4,20210104,64250,4376600,1020,35770,5,5,21
5,20210105,64964,4439352,714,62752,5,5,21
6,20210106,65802,4504858,838,65506,5,5,21
7,20210107,66671,4569801,869,64943,5,5,21
8,20210108,67345,4629997,674,60196,5,5,21
9,20210109,67986,4689609,641,59612,5,5,21
10,20210110,68643,4723456,657,33847,5,5,21
11,20210111,69094,4751678,451,28222,5,5,21
12,20210112,69631,4814078,537,62400,5,5,21
13,20210113,70192,4872305,561,58227,5,5,21
14,20210114,70716,4925352,524,53047,5,5,21
15,20210115,71228,4978067,512,52715,5,5,21
16,20210116,71808,5032263,580,54196,5,5,21
17,20210117,72328,5061283,520,29020,5,5,21
18,20210118,72717,5087213,389,25930,5,5,21
19,20210119,73103,5140319,386,53106,5,5,21
20,20210120,73507,5192123,404,51804,5,5,21
21,20210121,73907,5237602,400,45479,5,5,21
22,20210122,74253,5282220,346,44618,5,5,21
23,20210123,74684,5329704,431,47484,5,5,21
24,20210124,75076,5354346,392,24642,5,5,21
25,20210125,75513,5376083,437,21737,5,5,21
26,20210126,75862,5422760,349,46677,5,5,21
27,20210127,76421,5469244,559,46484,5,5,21
28,20210128,76918,5522186,497,52942,5,5,21
29,20210129,77387,5569261,469,47075,5,5,21
30,20210130,77843,5616527,456,47266,5,5,21
31,20210131,78197,5640817,354,24290,5,5,21
32,20210201,78502,5661841,305,21024,5,5,21
33,20210202,78838,5711412,336,49571,5,5,21
34,20210203,79305,5756713,467,45301,5,5,21
35,20210204,79756,5803094,451,46381,5,5,21
36,20210205,80126,5847177,370,44083,5,5,21
37,20210206,80516,5893352,390,46175,5,5,21
38,20210207,80887,5916974,371,23622,5,5,21
39,20210208,81175,5938195,288,21221,5,5,21
40,20210209,81478,5987404,303,49209,5,5,21
41,20210210,81922,6030022,444,42618,5,5,21
42,20210211,82426,6070007,504,39985,5,5,21
43,20210212,82829,6093368,403,23361,5,5,21
44,20210213,83191,6115336,362,21968,5,5,21
45,20210214,83517,6140085,326,24749,5,5,21
46,20210215,83860,6162859,343,22774,5,5,21
47,20210216,84317,6213489,457,50630,5,5,22
48,20210217,84938,6260566,621,47077,5,5,22
49,20210218,85559,6303213,621,42647,5,5,22
50,20210219,86120,6345991,561,42778,5,5,22
51,20210220,86568,6390630,448,44639,5,5,22
52,20210221,86984,6411339,416,20709,5,5,22
53,20210222,87316,6429143,332,17804,5,5,22
54,20210223,87672,6472678,356,43535,5,5,22
55,20210224,88112,6510987,440,38309,5,5,22
56,20210225,88507,6551212,395,40225,5,5,22
57,20210226,88894,6590064,387,38852,5,5,22
58,20210227,89309,6627213,415,37149,5,5,22
59,20210228,89664,6649005,355,21792,5,5,22
60,20210301,90019,6665754,355,16749,5,5,22
61,20210302,90363,6681975,344,16221,5,5,22
62,20210303,90807,6716202,444,34227,5,5,22
63,20210304,91231,6751899,424,35697,5,5,22
64,20210305,91629,6789010,398,37111,5,5,22
65,20210306,92047,6821942,418,32932,5,5,22
66,20210307,92463,6843125,416,21183,5,5,22
67,20210308,92809,6861808,346,18683,5,5,22
68,20210309,93255,6902983,446,41175,5,5,22
69,20210310,93725,6938883,470,35900,5,5,22
70,20210311,94190,6976984,465,38101,5,5,22
71,20210312,94678,7012663,488,35679,5,5,22
72,20210313,95168,7046781,490,34118,5,5,22
73,20210314,95627,7066400,459,19619,5,5,22
74,20210315,96006,7084939,379,18539,5,5,22
75,20210316,96369,7126076,363,41137,5,5,22
76,20210317,96838,7171509,469,45433,5,5,22
77,20210318,97283,7218086,445,46577,5,5,22
78,20210319,97746,7264940,463,46854,5,5,22
79,20210320,98193,7308949,447,44009,5,5,22
80,20210321,98649,7332713,456,23764,5,5,22
81,20210322,99064,7355963,415,23250,5,5,22
82,20210323,99410,7400989,346,45026,5,5,22
83,20210324,99838,7441209,428,40220,5,5,22
84,20210325,100268,7485858,430,44649,5,5,22
85,20210326,100757,7529401,489,43543,5,5,22
86,20210327,101262,7572566,505,43165,5,5,22
87,20210328,101744,7595594,482,23028,5,5,22
88,20210329,102126,7616328,382,20734,5,5,22
89,20210330,102573,7663997,447,47669,5,5,22
90,20210331,103079,7707798,506,43801,5,5,22
91,20210401,103630,7747301,551,39503,5,5,22
92,20210402,104187,7788293,557,40992,5,5,22
93,20210403,104730,7829599,543,41306,5,5,22
94,20210404,105273,7849474,543,19875,5,5,22
95,20210405,105746,7868818,473,19344,5,5,22
96,20210406,106223,7921288,477,52470,5,5,22
97,20210407,106891,7966165,668,44877,5,5,22
98,20210408,107591,8012419,700,46254,5,5,22
99,20210409,108262,8059111,671,46692,5,5,22
100,20210410,108939,8106628,677,47517,5,5,22
101,20210411,109553,8129530,614,22902,5,5,22
102,20210412,110140,8152781,587,23251,5,5,22
103,20210413,110682,8200517,542,47736,5,5,22
104,20210414,111413,8245386,731,44869,5,5,22
105,20210415,112111,8291124,698,45738,5,5,22
106,20210416,112784,8333331,673,42207,5,5,22
107,20210417,113442,8377778,658,44447,5,5,22
108,20210418,114113,8396065,671,18287,5,5,22
109,20210419,114645,8414820,532,18755,5,5,22
110,20210420,115194,8458591,549,43771,5,5,22
111,20210421,115925,8497593,731,39002,5,5,22
112,20210422,116660,8537504,735,39911,5,5,22
113,20210423,117457,8583529,797,46025,5,5,22
114,20210424,118234,8632922,777,49393,5,5,22
115,20210425,118878,8654790,644,21868,5,5,22
116,20210426,119377,8672977,499,18187,5,5,22
117,20210427,119889,8721608,512,48631,5,5,22
118,20210428,120658,8766497,769,44889,5,5,22
119,20210429,121337,8805778,679,39281,5,5,22
120,20210430,121998,8848291,661,42513,5,5,22
121,20210501,122625,8883387,627,35096,5,5,22
122,20210502,123231,8898233,606,14846,5,5,22
123,20210503,123719,8915325,488,17092,5,5,22
124,20210504,124260,8957154,541,41829,5,5,22
125,20210505,124936,8994068,676,36914,5,5,22
126,20210506,125510,9010991,574,16923,5,5,22
127,20210507,126035,9051353,525,40362,5,5,22
128,20210508,126736,9089165,701,37812,5,5,22
129,20210509,127300,9105770,564,16605,5,5,22
130,20210510,127763,9122058,463,16288,5,5,22
131,20210511,128273,9164283,510,42225,5,5,22
132,20210512,128907,9201538,634,37255,5,5,22
133,20210513,129622,9241152,715,39614,5,5,22
134,20210514,130369,9281290,747,40138,5,5,22
135,20210515,131050,9319093,681,37803,5,5,22
136,20210516,131660,9336613,610,17520,5,5,22
137,20210517,132279,9353299,619,16686,5,5,22
138,20210518,132807,9395003,528,41704,5,5,22
139,20210519,133461,9428643,654,33640,5,5,22
140,20210520,134107,9447357,646,18714,5,5,22
141,20210521,134668,9487107,561,39750,5,5,22
142,20210522,135334,9520965,666,33858,5,5,22
143,20210523,135919,9536298,585,15333,5,5,22
144,20210524,136457,9553612,538,17314,5,5,22
145,20210525,136973,9592726,516,39114,5,5,22
146,20210526,137678,9629455,705,36729,5,5,22
147,20210527,138307,9665690,629,36235,5,5,22
148,20210528,138894,9702453,587,36763,5,5,22
149,20210529,139427,9733588,533,31135,5,5,22
150,20210530,139907,9747612,480,14024,5,5,22
151,20210531,140337,9761156,430,13544,5,5,22
152,20210601,140796,9798400,459,37244,5,5,22
153,20210602,141473,9834348,677,35948,5,5,22
154,20210603,142154,9872322,681,37974,5,5,22
155,20210604,142849,9911322,695,39000,5,5,22
156,20210605,143593,9945952,744,34630,5,5,22
157,20210606,144149,9959695,556,13743,5,5,22
158,20210607,144634,9972295,485,12600,5,5,22
159,20210608,145088,10008582,454,36287,5,5,22
160,20210609,145690,10044782,602,36200,5,5,22
161,20210610,146300,10076861,610,32079,5,5,22
162,20210611,146856,10111063,556,34202,5,5,22
163,20210612,147421,10140534,565,29471,5,5,22
164,20210613,147873,10152906,452,12372,5,5,22
165,20210614,148272,10165496,399,12590,5,5,22
166,20210615,148645,10196468,373,30972,5,5,22
167,20210616,149190,10229383,545,32915,5,5,22
168,20210617,149730,10257835,540,28452,5,5,22
169,20210618,150237,10294047,507,36212,5,5,22
170,20210619,150719,10323153,482,29106,5,5,22
171,20210620,151148,10335633,429,12480,5,5,22
172,20210621,151505,10346046,357,10413,5,5,22
173,20210622,151899,10380042,394,33996,5,5,22
174,20210623,152544,10409948,645,29906,5,5,22
175,20210624,153154,10438781,610,28833,5,5,22
176,20210625,153788,10466544,634,27763,5,5,22
177,20210626,154456,10495515,668,28971,5,5,22
178,20210627,155070,10508677,614,13162,5,5,22
179,20210628,155571,10520928,501,12251,5,5,22
180,20210629,156166,10555740,595,34812,5,5,22
181,20210630,156960,10579071,794,23331,5,5,22
182,20210701,157721,10614315,761,35244,5,5,22
183,20210702,158546,10641601,825,27286,9,9,24
184,20210703,159340,10670616,794,29015,9,9,24
185,20210704,160083,10685124,743,14508,9,9,24
186,20210705,160794,10700133,711,15009,9,9,24
187,20210706,161540,10735715,746,35582,9,9,24
188,20210707,162751,10766500,1211,30785,9,9,24
189,20210708,164026,10802780,1275,36280,9,9,24
190,20210709,165342,10844215,1316,41435,9,9,24
191,20210710,166720,10881638,1378,37423,9,9,24
192,20210711,168044,10902276,1324,20638,9,9,24
193,20210712,169144,10919896,1100,17620,9,9,24
194,20210713,170294,10964297,1150,44401,5,3,24
195,20210714,171907,11008857,1613,44560,5,3,24
196,20210715,173506,11060454,1599,51597,5,3,24
197,20210716,175041,11108582,1535,48128,5,3,24
198,20210717,176490,11149224,1449,40642,5,3,24
199,20210718,177943,11175978,1453,26754,5,3,24
200,20210719,179194,11202430,1251,26452,5,3,24
201,20210720,180472,11251983,1278,49553,5,3,24
202,20210721,182253,11298670,1781,46687,5,3,24
203,20210722,184094,11343914,1841,45244,5,3,24
204,20210723,185723,11388300,1629,44386,5,3,24
205,20210724,187350,11430519,1627,42219,5,3,24
206,20210725,188837,11453341,1487,22822,5,3,24
207,20210726,190155,11472340,1318,18999,5,3,24
208,20210727,191518,11528603,1363,56263,5,3,24
209,20210728,193413,11585608,1895,57005,5,3,24
210,20210729,195086,11637500,1673,51892,5,3,24
211,20210730,196796,11682962,1710,45462,5,3,24
212,20210731,198334,11728815,1538,45853,5,3,24
213,20210801,199776,11751780,1442,22965,5,3,24
