,날짜,확진자수(양성),검사수
0,20210101.0,61753.0,4269308.0
1,20210102.0,62573.0,4302790.0
2,20210103.0,63230.0,4340830.0
3,20210104.0,64250.0,4376600.0
4,20210105.0,64964.0,4439352.0
5,20210106.0,65802.0,4504858.0
6,20210107.0,66671.0,4569801.0
7,20210108.0,67345.0,4629997.0
8,20210109.0,67986.0,4689609.0
9,20210110.0,68643.0,4723456.0
10,20210111.0,69094.0,4751678.0
11,20210112.0,69631.0,4814078.0
12,20210113.0,70192.0,4872305.0
13,20210114.0,70716.0,4925352.0
14,20210115.0,71228.0,4978067.0
15,20210116.0,71808.0,5032263.0
16,20210117.0,72328.0,5061283.0
17,20210118.0,72717.0,5087213.0
18,20210119.0,73103.0,5140319.0
19,20210120.0,73507.0,5192123.0
20,20210121.0,73907.0,5237602.0
21,20210122.0,74253.0,5282220.0
22,20210123.0,74684.0,5329704.0
23,20210124.0,75076.0,5354346.0
24,20210125.0,75513.0,5376083.0
25,20210126.0,75862.0,5422760.0
26,20210127.0,76421.0,5469244.0
27,20210128.0,76918.0,5522186.0
28,20210129.0,77387.0,5569261.0
29,20210130.0,77843.0,5616527.0
30,20210131.0,78197.0,5640817.0
31,20210201.0,78502.0,5661841.0
32,20210202.0,78838.0,5711412.0
33,20210203.0,79305.0,5756713.0
34,20210204.0,79756.0,5803094.0
35,20210205.0,80126.0,5847177.0
36,20210206.0,80516.0,5893352.0
37,20210207.0,80887.0,5916974.0
38,20210208.0,81175.0,5938195.0
39,20210209.0,81478.0,5987404.0
40,20210210.0,81922.0,6030022.0
41,20210211.0,82426.0,6070007.0
42,20210212.0,82829.0,6093368.0
43,20210213.0,83191.0,6115336.0
44,20210214.0,83517.0,6140085.0
45,20210215.0,83860.0,6162859.0
46,20210216.0,84317.0,6213489.0
47,20210217.0,84938.0,6260566.0
48,20210218.0,85559.0,6303213.0
49,20210219.0,86120.0,6345991.0
50,20210220.0,86568.0,6390630.0
51,20210221.0,86984.0,6411339.0
52,20210222.0,87316.0,6429143.0
53,20210223.0,87672.0,6472678.0
54,20210224.0,88112.0,6510987.0
55,20210225.0,88507.0,6551212.0
56,20210226.0,88894.0,6590064.0
57,20210227.0,89309.0,6627213.0
58,20210228.0,89664.0,6649005.0
59,20210301.0,90019.0,6665754.0
60,20210302.0,90363.0,6681975.0
61,20210303.0,90807.0,6716202.0
62,20210304.0,91231.0,6751899.0
63,20210305.0,91629.0,6789010.0
64,20210306.0,92047.0,6821942.0
65,20210307.0,92463.0,6843125.0
66,20210308.0,92809.0,6861808.0
67,20210309.0,93255.0,6902983.0
68,20210310.0,93725.0,6938883.0
69,20210311.0,94190.0,6976984.0
70,20210312.0,94678.0,7012663.0
71,20210313.0,95168.0,7046781.0
72,20210314.0,95627.0,7066400.0
73,20210315.0,96006.0,7084939.0
74,20210316.0,96369.0,7126076.0
75,20210317.0,96838.0,7171509.0
76,20210318.0,97283.0,7218086.0
77,20210319.0,97746.0,7264940.0
78,20210320.0,98193.0,7308949.0
79,20210321.0,98649.0,7332713.0
80,20210322.0,99064.0,7355963.0
81,20210323.0,99410.0,7400989.0
82,20210324.0,99838.0,7441209.0
83,20210325.0,100268.0,7485858.0
84,20210326.0,100757.0,7529401.0
85,20210327.0,101262.0,7572566.0
86,20210328.0,101744.0,7595594.0
87,20210329.0,102126.0,7616328.0
88,20210330.0,102573.0,7663997.0
89,20210331.0,103079.0,7707798.0
90,20210401.0,103630.0,7747301.0
