,일시,평균기온(°C),강수여부,일강수량(mm),평균 풍속(m/s)
0,2021-01-01,-4.2,0,0.0,2.0
1,2021-01-02,-5.0,0,0.0,2.6
2,2021-01-03,-5.6,0,0.0,2.0
3,2021-01-04,-3.5,0,0.0,1.7
4,2021-01-05,-5.5,0,0.0,2.9
5,2021-01-06,-7.4,1,2.3,2.4
6,2021-01-07,-14.5,0,0.0,4.1
7,2021-01-08,-14.9,0,0.0,3.3
8,2021-01-09,-12.2,0,0.0,2.6
9,2021-01-10,-7.7,0,0.0,1.3
10,2021-01-11,-6.7,0,0.0,1.9
11,2021-01-12,-3.9,1,2.6,1.8
12,2021-01-13,2.0,0,0.0,2.4
13,2021-01-14,1.7,0,0.0,2.3
14,2021-01-15,4.5,1,0.2,3.0
15,2021-01-16,-4.9,0,0.0,3.3
16,2021-01-17,-5.5,0,0.0,2.3
17,2021-01-18,-3.8,1,0.3,3.2
18,2021-01-19,-6.3,0,0.0,1.8
19,2021-01-20,-0.1,0,0.0,2.2
20,2021-01-21,4.5,1,9.2,2.3
21,2021-01-22,5.5,1,0.1,1.7
22,2021-01-23,7.6,0,0.0,4.2
23,2021-01-24,7.3,0,0.0,2.1
24,2021-01-25,7.9,0,0.0,1.9
25,2021-01-26,5.3,1,1.7,1.9
26,2021-01-27,1.7,0,0.0,2.2
27,2021-01-28,-2.6,1,2.0,4.0
28,2021-01-29,-8.8,0,0.0,3.5
29,2021-01-30,-1.6,1,0.5,2.5
30,2021-01-31,3.2,0,0.0,2.0
31,2021-02-01,5.0,1,0.7,2.7
32,2021-02-02,-5.6,0,0.0,3.9
33,2021-02-03,-3.2,1,3.4,2.2
34,2021-02-04,-3.6,1,0.1,2.5
35,2021-02-05,1.4,0,0.0,2.4
36,2021-02-06,6.8,0,0.0,2.2
37,2021-02-07,3.6,0,0.0,2.9
38,2021-02-08,-3.1,0,0.0,3.4
39,2021-02-09,-0.9,0,0.0,2.0
40,2021-02-10,3.4,0,0.0,2.1
41,2021-02-11,5.5,0,0.0,1.3
42,2021-02-12,6.5,0,0.0,1.7
43,2021-02-13,7.6,0,0.0,1.5
44,2021-02-14,9.5,0,0.0,1.7
45,2021-02-15,1.2,1,1.4,4.0
46,2021-02-16,-5.1,1,1.5,3.2
47,2021-02-17,-8.3,0,0.0,5.0
48,2021-02-18,-5.8,0,0.0,3.1
49,2021-02-19,1.6,0,0.0,2.9
50,2021-02-20,8.8,0,0.0,2.1
51,2021-02-21,10.8,0,0.0,2.8
52,2021-02-22,7.8,0,0.0,2.9
53,2021-02-23,0.0,0,0.0,2.9
54,2021-02-24,2.9,0,0.0,1.8
55,2021-02-25,4.2,0,0.0,1.4
56,2021-02-26,8.2,0,0.0,2.3
57,2021-02-27,9.5,0,0.0,3.4
58,2021-02-28,7.8,0,0.0,2.1
59,2021-03-01,4.7,1,67.5,3.5
60,2021-03-02,2.3,1,0.1,1.9
61,2021-03-03,4.4,0,0.0,1.8
62,2021-03-04,7.2,0,0.0,1.9
63,2021-03-05,9.0,0,0.0,2.1
64,2021-03-06,6.6,0,0.0,3.3
65,2021-03-07,6.2,0,0.0,2.8
66,2021-03-08,7.0,0,0.0,1.8
