,Date,Won
0,2021-01-04,249789
1,2021-01-05,211252
2,2021-01-06,152762
3,2021-01-07,1310714
4,2021-01-08,252126
5,2021-01-11,241118
6,2021-01-12,457190
7,2021-01-14,993527
8,2021-01-18,62100
9,2021-01-19,277857
10,2021-01-20,155388
11,2021-01-21,104100
12,2021-01-22,243971
13,2021-01-25,282400
14,2021-01-26,218188
15,2021-01-27,258896
16,2021-01-28,176177
17,2021-01-29,150000
18,2021-02-01,131883
19,2021-02-02,99676
20,2021-02-03,204578
21,2021-02-04,485292
22,2021-02-05,149030
23,2021-02-08,177836
24,2021-02-09,107771
25,2021-02-10,493412
26,2021-02-10,55780
27,2021-02-16,158198
28,2021-02-17,116911
29,2021-02-18,609304
30,2021-02-19,172695
31,2021-02-22,234840
32,2021-02-23,128725
33,2021-02-24,169880
34,2021-02-25,479537
35,2021-02-26,103117
36,2021-03-02,154524
37,2021-03-03,50679
38,2021-03-04,127740
39,2021-03-05,818923
40,2021-03-08,125724
41,2021-03-09,152426
42,2021-03-10,76125
43,2021-03-11,622099
44,2021-03-12,88273
45,2021-03-15,171651
46,2021-03-16,105934
47,2021-03-17,99331
48,2021-03-18,505558
49,2021-03-19,126444
50,2021-03-22,213040
51,2021-03-23,82814
52,2021-03-24,176475
53,2021-03-25,447666
54,2021-03-26,133895
55,2021-03-29,97666
56,2021-03-30,272783
57,2021-03-31,98987
58,2021-04-01,581817
59,2021-04-02,100249
60,2021-04-05,129272
61,2021-04-06,107670
62,2021-04-07,101046
63,2021-04-08,487176
64,2021-04-09,84370
65,2021-04-12,52813
66,2021-04-13,68655
67,2021-04-14,121253
68,2021-04-15,426521
69,2021-04-16,180371
70,2021-04-19,157753
71,2021-04-20,98631
72,2021-04-21,55007
73,2021-04-22,566521
74,2021-04-23,161621
75,2021-04-26,98130
76,2021-04-27,119905
77,2021-04-28,162036
78,2021-04-29,427300
79,2021-05-03,89299
80,2021-05-04,103539
81,2021-05-06,107194
82,2021-05-07,268490
83,2021-05-10,163771
84,2021-05-11,372846
85,2021-05-12,64696
86,2021-05-13,461620
87,2021-05-14,0
88,2021-05-17,98501
89,2021-05-18,43504
90,2021-05-20,44979
91,2021-05-21,599432
92,2021-05-24,144015
93,2021-05-25,118609
94,2021-05-26,48166
95,2021-05-27,215858
96,2021-05-28,103002
97,2021-05-31,30583
98,2021-06-01,14703
99,2021-06-02,93818
100,2021-06-03,332441
101,2021-06-04,168396
102,2021-06-07,71760
103,2021-06-08,115714
104,2021-06-09,134782
105,2021-06-10,301767
106,2021-06-11,53347
107,2021-06-14,81797
108,2021-06-15,102922
109,2021-06-16,82311
110,2021-06-17,329570
111,2021-06-18,82979
112,2021-06-21,79767
113,2021-06-22,150742
114,2021-06-23,79691
115,2021-06-24,370410
116,2021-06-25,52621
117,2021-06-28,83999
118,2021-06-29,85868
119,2021-06-30,130445
120,2021-07-01,208607
121,2021-07-05,118180
122,2021-07-06,64694
123,2021-07-07,94344
124,2021-07-08,212433
125,2021-07-08,21466
126,2021-07-09,103482
127,2021-07-12,62188
128,2021-07-12,8028
129,2021-07-13,87280
130,2021-07-13,14018
131,2021-07-14,85513
132,2021-07-15,423543
133,2021-07-15,24260
134,2021-07-16,38662
135,2021-07-19,85273
136,2021-07-20,21842
137,2021-07-20,23918
138,2021-07-21,137386
139,2021-07-22,333115
140,2021-07-22,21717
141,2021-07-23,0
142,2021-07-26,122743
143,2021-07-27,143417
144,2021-07-28,94981
145,2021-07-29,536941
146,2021-07-29,34240
147,2021-08-02,137598
148,2021-08-03,73528
149,2021-08-03,11654
150,2021-08-04,31846
151,2021-08-04,136250
152,2021-08-05,486608
153,2021-08-05,38174
154,2021-08-11,201523
155,2021-08-11,9912
156,2021-08-12,400774
157,2021-08-12,20441
158,2021-08-17,98305
159,2021-08-17,3385
160,2021-08-18,62232
161,2021-08-18,3868
162,2021-08-19,140518
163,2021-08-20,291890
164,2021-08-23,126314
165,2021-08-23,12244
166,2021-08-24,110404
167,2021-08-24,4019
168,2021-08-25,135605
169,2021-08-26,454592
170,2021-08-26,23591
171,2021-08-30,133925
172,2021-08-30,15967
173,2021-08-31,65236
174,2021-09-01,117090
175,2021-09-02,430512
176,2021-09-03,40722
177,2021-09-03,76054
178,2021-09-06,115475
179,2021-09-07,129955
180,2021-09-07,9705
181,2021-09-08,89878
182,2021-09-09,488433
183,2021-09-09,18468
184,2021-09-10,149831
185,2021-09-13,135097
186,2021-09-14,51929
187,2021-09-15,192537
188,2021-09-15,14273
189,2021-09-16,552284
190,2021-09-16,17600
191,2021-09-17,79292
192,2021-09-17,177105
193,2021-09-17,15820
194,2021-09-23,65800
195,2021-09-23,99531
196,2021-09-24,138624
197,2021-09-27,503975
198,2021-09-27,18762
199,2021-09-29,102834
200,2021-09-30,501327
201,2021-09-30,7920
202,2021-10-01,195772
203,2021-10-05,96696
204,2021-10-06,26774
205,2021-10-06,88855
206,2021-10-07,96745
207,2021-10-07,3431
208,2021-10-08,591733
209,2021-10-08,17939
210,2021-10-12,93394
211,2021-10-13,112804
212,2021-10-13,29630
213,2021-10-14,51239
214,2021-10-15,510605
215,2021-10-15,31044
216,2021-10-18,43543
217,2021-10-18,22389
218,2021-10-19,172006
219,2021-10-19,5802
220,2021-10-20,27935
221,2021-10-20,103488
222,2021-10-21,595972
223,2021-10-21,13585
224,2021-10-22,82546
225,2021-10-22,12359
226,2021-10-25,41033
227,2021-10-26,115211
228,2021-10-26,44106
229,2021-10-27,44791
230,2021-10-27,12605
231,2021-10-28,423815
232,2021-10-28,11556
233,2021-10-29,82578
234,2021-11-01,26883
235,2021-11-02,218320
236,2021-11-03,66442
237,2021-11-03,8268
238,2021-11-04,522942
239,2021-11-05,80014
240,2021-11-08,60906
241,2021-11-09,111676
242,2021-11-10,61786
243,2021-11-10,2401
244,2021-11-11,331126
245,2021-11-15,100778
246,2021-11-15,8558
247,2021-11-16,100058
248,2021-11-16,10366
249,2021-11-17,56300
250,2021-11-18,322402
251,2021-11-18,19817
252,2021-11-19,55371
253,2021-11-19,10939
254,2021-11-22,68641
255,2021-11-23,48750
256,2021-11-24,123086
257,2021-11-25,572818
258,2021-11-25,4835
259,2021-11-26,98345
